Estimate,Bias,Precision,Mean Squared Error
Alpha MOM,0.08403369796399127,1.8267858062344282,0.5544712145080504
Beta MOM,10.565823329142946,1.2207977153951794e-4,8303.001886410808
Alpha MLE,0.07259280861277496,2.129775513656082,0.4748027692700413
Beta MLE,9.183704849011063,1.4215877566974323e-4,7118.7285355851345
