Distribution,Mean,Variance,Skewness,Excess Kurtosis
"Beta(2,5)",0.2857142857142857,0.025510204081632654,0.5962847939999439,-0.12
"Beta(5,5)",0.5,0.022727272727272728,0,-0.46153846153846156
"Beta(5,2)",0.7142857142857143,0.025510204081632654,-0.5962847939999439,-0.12
"Beta(0.5,0.5)",0.5,0.125,0,-1.5
